species,common_name,family,length,length_type,speed_mpers,speed_lengthtypepers
Acanthocybium solandri,Wahoo,Scombridae,125, SL,0.4,0.32
Acrossocheilus paradoxus,NA,Cyprinidae,12, BL,0.48,4
Argyrosomus regius,Meagre,Sciaenidae,29, TL,1.13,3.8
Auxis rochei,Bullet tuna,Scombridae,31, SL,0.68,2.19
Brevoortia tyrannus,Atlantic menhaden,Alosidae,25, SL,0.13,0.51
Carassius auratus,Goldfish,Cyprinidae,6, TL,0.42,7
Carassius auratus,Goldfish,Cyprinidae,9, TL,0.62,6.89
Carassius auratus,Goldfish,Cyprinidae,9, TL,0.7,7.78
Carassius auratus,Goldfish,Cyprinidae,11, TL,0.63,5.73
Carassius auratus,Goldfish,Cyprinidae,14, TL,0.8,5.71
Carcharhinus leucas,Bull shark,Carcharhinidae,173, SL,1.3,0.75
Carcharhinus melanopterus,Blacktip reef shark,Carcharhinidae,75, SL,0.77,1.03
Catostomus occidentalis,Sacramento sucker,Catostomidae,19.1, TL,0.47,2.46
Catostomus occidentalis,Sacramento sucker,Catostomidae,20, TL,0.48,2.4
Catostomus occidentalis,Sacramento sucker,Catostomidae,20.9, TL,0.51,2.44
Cetorhinus maximus,Basking shark,Cetorhinidae,700, SL,0.77,0.11
Chelidonichthys cuculus,Red gurnard,Triglidae,19, TL,0.47,2.4
Chelon ramada,Thinlip grey mullet,Mugilidae,26, TL,0.61,2.3
Chromis punctipinnis,Blacksmith,Pomacentridae,8, SL,0.48,6
Coryphaena hippurus,Common dolphinfish,Coryphaenidae,67, SL,0.56,0.8400000000000001
Cymatogaster aggregata,Shiner perch,Embiotocidae,9, SL,0.44,4.94
Cyprinus carpio,Common carp,Cyprinidae,11, TL,0.59,5.2
Echiichthys vipera,Lesser weever,Trachinidae,22, TL,0.4,1.8
Embiotoca jacksoni,Black perch,Embiotocidae,14, SL,0.49,3.4899999999999998
Esox lucius,Northern pike,Esocidae,37, TL,1.44,3.9
Euthynnus affinis,Kawakawa,Scombridae,36, SL,0.76,2.11
Gadus morhua,Atlantic cod,Gadidae,27, BL,0.39,1.44
Gadus morhua,Atlantic cod,Gadidae,27, BL,0.53,1.95
Gasterosteus aculeatus,Three-spined stickleback,Gasterosteidae,4.9, TL,0.2,4
Ginglymostoma cirratum,Nurse shark,Ginglymostomatidae,193, SL,0.75,0.39
Hyperprosopon argenteum,Walleye surfperch,Embiotocidae,13, SL,0.4,3.06
Hypsurus caryi,Rainbow seaperch,Embiotocidae,13, SL,0.4,3.04
Katsuwonus pelamis,Skipjack tuna,Scombridae,38, SL,0.59,1.55
Katsuwonus pelamis,Skipjack tuna,Scombridae,39, SL,0.84,2.15
Katsuwonus pelamis,Skipjack tuna,Scombridae,48, SL,0.72,1.5
Lavinia exilicauda,Hitch,Leuciscidae,23.7, TL,0.57,2.4
