group,mass_bin,T_bin,O2_bin,n
demersal,10^-2 g,25.25,21.75,2
demersal,10^-2 g,25.75,21.25,1
demersal,10^-2 g,25.75,21.75,16
demersal,10^-2 g,26.25,21.75,1
demersal,10^-2 g,26.75,21.25,1
demersal,10^-2 g,27.75,21.75,1
demersal,10^-2 g,28.25,21.25,2
demersal,10^-2 g,28.25,21.75,1
demersal,10^-2 g,28.75,21.75,5
demersal,10^-2 g,29.25,21.75,4
demersal,10^-1 g,6.25,10.25,2
demersal,10^-1 g,7.25,5.75,1
demersal,10^-1 g,7.75,7.25,1
demersal,10^-1 g,10.25,15.75,1
demersal,10^-1 g,10.75,16.25,1
demersal,10^-1 g,11.25,4.75,1
demersal,10^-1 g,12.25,16.75,3
demersal,10^-1 g,12.75,16.75,1
demersal,10^-1 g,13.25,11.25,1
demersal,10^-1 g,13.25,17.25,1
demersal,10^-1 g,14.25,16.75,2
demersal,10^-1 g,14.75,16.75,1
demersal,10^-1 g,16.25,21.25,1
demersal,10^-1 g,17.75,7.25,1
demersal,10^-1 g,18.25,22.25,1
demersal,10^-1 g,18.75,21.25,1
demersal,10^-1 g,18.75,21.75,2
demersal,10^-1 g,21.25,21.25,3
demersal,10^-1 g,21.25,21.75,1
demersal,10^-1 g,21.75,11.25,1
demersal,10^-1 g,21.75,13.75,1
demersal,10^-1 g,21.75,19.75,1
demersal,10^-1 g,21.75,21.25,3
demersal,10^-1 g,21.75,21.75,15
demersal,10^-1 g,22.25,20.75,1
demersal,10^-1 g,22.25,21.75,3
demersal,10^-1 g,22.75,20.75,1
demersal,10^-1 g,23.25,21.25,1
demersal,10^-1 g,23.75,20.75,5
demersal,10^-1 g,23.75,22.25,1
demersal,10^-1 g,24.25,20.75,1
demersal,10^-1 g,24.25,21.75,1
demersal,10^-1 g,24.75,15.25,2
demersal,10^-1 g,24.75,17.75,1
demersal,10^-1 g,24.75,20.25,1
demersal,10^-1 g,24.75,21.75,4
demersal,10^-1 g,25.25,21.25,87
demersal,10^-1 g,25.25,21.75,12
demersal,10^-1 g,25.75,20.75,4
demersal,10^-1 g,25.75,21.75,27
demersal,10^-1 g,26.25,20.75,1
demersal,10^-1 g,26.25,21.25,15
demersal,10^-1 g,26.25,21.75,4
demersal,10^-1 g,26.25,22.25,5
demersal,10^-1 g,26.75,17.25,1
demersal,10^-1 g,26.75,19.75,1
demersal,10^-1 g,26.75,20.75,4
demersal,10^-1 g,26.75,21.25,6
demersal,10^-1 g,26.75,21.75,9
demersal,10^-1 g,27.25,17.75,1
demersal,10^-1 g,27.25,19.75,1
demersal,10^-1 g,27.25,20.75,1
demersal,10^-1 g,27.25,21.25,22
demersal,10^-1 g,27.25,21.75,15
demersal,10^-1 g,27.75,20.25,1
demersal,10^-1 g,27.75,20.75,1
demersal,10^-1 g,27.75,21.25,23
demersal,10^-1 g,27.75,21.75,40
demersal,10^-1 g,27.75,22.25,11
demersal,10^-1 g,28.25,19.75,1
demersal,10^-1 g,28.25,20.75,1
demersal,10^-1 g,28.25,21.25,2
demersal,10^-1 g,28.25,21.75,7
demersal,10^-1 g,28.75,19.75,8
demersal,10^-1 g,28.75,20.25,5
demersal,10^-1 g,28.75,20.75,3
demersal,10^-1 g,28.75,21.25,11
demersal,10^-1 g,28.75,21.75,4
demersal,10^-1 g,29.25,21.25,8
demersal,10^-1 g,29.25,21.75,34
demersal,10^-1 g,29.25,22.25,5
demersal,10^-1 g,29.75,20.75,1
demersal,10^-1 g,29.75,21.75,3
demersal,10^0 g,0.25,13.25,1
demersal,10^0 g,0.25,19.25,1
demersal,10^0 g,0.25,19.75,3
demersal,10^0 g,0.25,20.25,1
demersal,10^0 g,0.75,18.25,2
demersal,10^0 g,0.75,18.75,4
demersal,10^0 g,0.75,19.25,2
demersal,10^0 g,0.75,20.25,1
demersal,10^0 g,1.25,17.25,1
demersal,10^0 g,1.75,5.25,1
demersal,10^0 g,1.75,8.75,1
demersal,10^0 g,1.75,9.25,2
demersal,10^0 g,1.75,20.75,4
demersal,10^0 g,1.75,21.75,3
demersal,10^0 g,2.25,3.25,1
demersal,10^0 g,2.25,3.75,1
demersal,10^0 g,2.25,21.25,2
demersal,10^0 g,2.25,21.75,5
demersal,10^0 g,2.25,22.75,1
demersal,10^0 g,2.75,3.25,1
demersal,10^0 g,2.75,3.75,1
demersal,10^0 g,2.75,4.75,2
demersal,10^0 g,2.75,8.75,1
demersal,10^0 g,2.75,9.75,1
demersal,10^0 g,2.75,21.25,1
demersal,10^0 g,3.25,10.25,1
demersal,10^0 g,3.25,13.25,1
demersal,10^0 g,3.25,18.25,1
demersal,10^0 g,3.25,18.75,1
demersal,10^0 g,3.25,21.75,1
demersal,10^0 g,3.25,22.25,2
demersal,10^0 g,3.75,5.25,1
demersal,10^0 g,3.75,15.25,1
demersal,10^0 g,3.75,16.75,1
demersal,10^0 g,3.75,18.25,2
demersal,10^0 g,3.75,18.75,1
demersal,10^0 g,3.75,21.75,1
demersal,10^0 g,3.75,22.25,2
demersal,10^0 g,4.25,7.25,1
demersal,10^0 g,4.25,10.75,1
demersal,10^0 g,4.25,16.75,1
demersal,10^0 g,4.25,17.75,5
demersal,10^0 g,4.25,18.75,1
demersal,10^0 g,4.25,21.75,15
demersal,10^0 g,4.25,22.25,1
demersal,10^0 g,4.75,6.75,3
demersal,10^0 g,4.75,7.75,1
demersal,10^0 g,4.75,9.25,1
demersal,10^0 g,4.75,11.25,2
demersal,10^0 g,4.75,11.75,1
demersal,10^0 g,4.75,12.25,1
demersal,10^0 g,4.75,17.25,2
demersal,10^0 g,4.75,21.75,11
demersal,10^0 g,4.75,22.25,5
demersal,10^0 g,5.25,3.25,1
demersal,10^0 g,5.25,9.25,2
demersal,10^0 g,5.25,11.75,1
demersal,10^0 g,5.25,12.25,3
demersal,10^0 g,5.25,16.75,1
demersal,10^0 g,5.25,20.75,1
demersal,10^0 g,5.25,21.75,9
demersal,10^0 g,5.75,6.25,1
demersal,10^0 g,5.75,9.25,2
demersal,10^0 g,5.75,11.25,1
demersal,10^0 g,5.75,12.75,1
demersal,10^0 g,5.75,13.75,1
demersal,10^0 g,5.75,19.75,1
demersal,10^0 g,5.75,21.25,1
demersal,10^0 g,5.75,21.75,10
demersal,10^0 g,5.75,22.25,18
demersal,10^0 g,6.25,6.25,1
demersal,10^0 g,6.25,7.25,1
demersal,10^0 g,6.25,8.25,1
demersal,10^0 g,6.25,16.25,2
demersal,10^0 g,6.25,19.75,1
demersal,10^0 g,6.25,20.25,3
demersal,10^0 g,6.25,20.75,6
demersal,10^0 g,6.25,21.75,15
demersal,10^0 g,6.75,19.25,1
demersal,10^0 g,7.25,9.25,1
demersal,10^0 g,7.25,9.75,1
demersal,10^0 g,7.25,11.25,1
demersal,10^0 g,7.25,13.75,1
demersal,10^0 g,7.25,15.25,1
demersal,10^0 g,7.25,17.25,1
demersal,10^0 g,7.25,19.75,7
demersal,10^0 g,7.25,20.25,1
demersal,10^0 g,7.25,21.75,3
demersal,10^0 g,7.25,22.25,22
demersal,10^0 g,7.25,22.75,16
